keyword,score,previous_score,status,source,category,first_seen,last_seen,summary,related_title,related_url,sighting_count,source_count,score_reason
서울 날씨,96.0,88.0,상승,Google Trends | Google News,사회,2026-07-01T08:40:00+09:00,2026-07-01T10:20:00+09:00,서울 지역 날씨 변화와 예보에 관심이 모인 샘플입니다.,서울 날씨 관련 뉴스 보기,https://news.google.com/search?q=%EC%84%9C%EC%9A%B8%20%EB%82%A0%EC%94%A8&hl=ko&gl=KR&ceid=KR%3Ako,4,2,샘플 점수 · 최신성+다중출처+관련링크+반복
프로야구 순위,93.0,84.0,상승,Google Trends | Google News,스포츠,2026-07-01T08:50:00+09:00,2026-07-01T10:20:00+09:00,경기 결과와 리그 순위 검색이 늘어난 샘플입니다.,프로야구 최신 뉴스 보기,https://news.google.com/search?q=%ED%94%84%EB%A1%9C%EC%95%BC%EA%B5%AC%20%EC%88%9C%EC%9C%84&hl=ko&gl=KR&ceid=KR%3Ako,5,2,샘플 점수 · 최신성+다중출처+관련링크+반복
환율,90.0,91.0,관찰,Google Trends | Google News,경제,2026-07-01T07:30:00+09:00,2026-07-01T10:20:00+09:00,원·달러 환율 움직임에 대한 관심을 보여 주는 샘플입니다.,환율 최신 뉴스 보기,https://news.google.com/search?q=%ED%99%98%EC%9C%A8&hl=ko&gl=KR&ceid=KR%3Ako,6,2,샘플 점수 · 최신성+다중출처+관련링크+반복
AI 반도체,88.0,79.0,상승,Google News | YouTube,기술,2026-07-01T09:00:00+09:00,2026-07-01T10:20:00+09:00,AI용 반도체와 관련 기업 소식이 주목받는 샘플입니다.,AI 반도체 최신 뉴스 보기,https://news.google.com/search?q=AI%20%EB%B0%98%EB%8F%84%EC%B2%B4&hl=ko&gl=KR&ceid=KR%3Ako,3,2,샘플 점수 · 최신성+다중출처+관련링크+반복
주말 영화,86.0,86.0,관찰,Google Trends | YouTube,연예,2026-07-01T09:10:00+09:00,2026-07-01T10:20:00+09:00,주말 개봉작과 예매 순위 관심을 가정한 샘플입니다.,영화 인기 영상 보기,https://www.youtube.com/results?search_query=%EC%A3%BC%EB%A7%90+%EC%98%81%ED%99%94,3,2,샘플 점수 · 최신성+다중출처+관련링크+반복
장마 예보,84.0,73.0,상승,Google Trends | Google News,사회,2026-07-01T09:20:00+09:00,2026-07-01T10:20:00+09:00,강수 시점과 지역별 장마 예보 관심을 보여 주는 샘플입니다.,장마 예보 뉴스 보기,https://news.google.com/search?q=%EC%9E%A5%EB%A7%88%20%EC%98%88%EB%B3%B4&hl=ko&gl=KR&ceid=KR%3Ako,3,2,샘플 점수 · 최신성+다중출처+관련링크+반복
신작 게임,82.0,74.0,상승,YouTube | Google News,기술,2026-07-01T09:15:00+09:00,2026-07-01T10:20:00+09:00,새 게임 출시와 플레이 영상 관심을 가정한 샘플입니다.,신작 게임 영상 보기,https://www.youtube.com/results?search_query=%EC%8B%A0%EC%9E%91+%EA%B2%8C%EC%9E%84,3,2,샘플 점수 · 최신성+다중출처+관련링크+반복
K리그,80.0,82.0,관찰,Google Trends | Google News,스포츠,2026-07-01T08:10:00+09:00,2026-07-01T10:20:00+09:00,국내 프로축구 경기와 선수 소식 관심의 샘플입니다.,K리그 최신 뉴스 보기,https://news.google.com/search?q=K%EB%A6%AC%EA%B7%B8&hl=ko&gl=KR&ceid=KR%3Ako,4,2,샘플 점수 · 최신성+다중출처+관련링크+반복
여름 축제,78.0,67.0,상승,Google News,문화,2026-07-01T09:40:00+09:00,2026-07-01T10:20:00+09:00,지역 여름 축제 일정에 관심이 모인 상황을 가정했습니다.,여름 축제 뉴스 보기,https://news.google.com/search?q=%EC%97%AC%EB%A6%84%20%EC%B6%95%EC%A0%9C&hl=ko&gl=KR&ceid=KR%3Ako,2,1,샘플 점수 · 최신성+관련링크+반복
전기차 보조금,76.0,78.0,관찰,Google News,경제,2026-07-01T08:00:00+09:00,2026-07-01T10:20:00+09:00,전기차 구매 지원 정책 관심을 나타내는 샘플입니다.,전기차 보조금 뉴스 보기,https://news.google.com/search?q=%EC%A0%84%EA%B8%B0%EC%B0%A8%20%EB%B3%B4%EC%A1%B0%EA%B8%88&hl=ko&gl=KR&ceid=KR%3Ako,3,1,샘플 점수 · 최신성+관련링크+반복
콘서트 예매,74.0,69.0,상승,Google Trends | YouTube,연예,2026-07-01T09:35:00+09:00,2026-07-01T10:20:00+09:00,공연 예매 일정과 관련 영상 관심의 샘플입니다.,콘서트 영상 보기,https://www.youtube.com/results?search_query=%EC%BD%98%EC%84%9C%ED%8A%B8+%EC%98%88%EB%A7%A4,2,2,샘플 점수 · 최신성+다중출처+관련링크
코스피,72.0,77.0,하락,Google Trends | Google News,경제,2026-07-01T06:30:00+09:00,2026-07-01T10:20:00+09:00,국내 증시 지수 움직임에 관한 샘플입니다.,코스피 뉴스 보기,https://news.google.com/search?q=%EC%BD%94%EC%8A%A4%ED%94%BC&hl=ko&gl=KR&ceid=KR%3Ako,5,2,샘플 점수 · 경과시간 감점 반영
스마트폰 신제품,70.0,64.0,상승,Google News | YouTube,기술,2026-07-01T09:30:00+09:00,2026-07-01T10:20:00+09:00,스마트폰 공개 소식과 체험 영상 관심을 가정한 샘플입니다.,스마트폰 신제품 영상 보기,https://www.youtube.com/results?search_query=%EC%8A%A4%EB%A7%88%ED%8A%B8%ED%8F%B0+%EC%8B%A0%EC%A0%9C%ED%92%88,2,2,샘플 점수 · 최신성+다중출처+관련링크
교육 정책,68.0,68.0,관찰,Google News,사회,2026-07-01T08:20:00+09:00,2026-07-01T10:20:00+09:00,교육 제도와 정책 발표 관심을 보여 주는 샘플입니다.,교육 정책 뉴스 보기,https://news.google.com/search?q=%EA%B5%90%EC%9C%A1%20%EC%A0%95%EC%B1%85&hl=ko&gl=KR&ceid=KR%3Ako,3,1,샘플 점수 · 최신성+관련링크+반복
배구 대표팀,66.0,71.0,하락,Google Trends,스포츠,2026-07-01T07:50:00+09:00,2026-07-01T10:20:00+09:00,대표팀 경기 결과 관심이 잦아드는 상황을 가정한 샘플입니다.,배구 대표팀 뉴스 보기,https://news.google.com/search?q=%EB%B0%B0%EA%B5%AC%20%EB%8C%80%ED%91%9C%ED%8C%80&hl=ko&gl=KR&ceid=KR%3Ako,3,1,샘플 점수 · 경과시간 감점 반영
OTT 신작,64.0,58.0,상승,YouTube,연예,2026-07-01T09:45:00+09:00,2026-07-01T10:20:00+09:00,새 공개 콘텐츠와 예고편 관심을 가정한 샘플입니다.,OTT 신작 영상 보기,https://www.youtube.com/results?search_query=OTT+%EC%8B%A0%EC%9E%91,2,1,샘플 점수 · 최신성+관련링크
지역 맛집,62.0,62.0,관찰,YouTube,생활,2026-07-01T08:45:00+09:00,2026-07-01T10:20:00+09:00,지역별 음식점 영상 관심을 가정한 샘플입니다.,지역 맛집 영상 보기,https://www.youtube.com/results?search_query=%EC%A7%80%EC%97%AD+%EB%A7%9B%EC%A7%91,2,1,샘플 점수 · 최신성+관련링크
여행 할인,60.0,65.0,하락,Google News,생활,2026-07-01T07:20:00+09:00,2026-07-01T10:20:00+09:00,여행 상품과 할인 정보 관심을 보여 주는 샘플입니다.,여행 할인 뉴스 보기,https://news.google.com/search?q=%EC%97%AC%ED%96%89%20%ED%95%A0%EC%9D%B8&hl=ko&gl=KR&ceid=KR%3Ako,3,1,샘플 점수 · 경과시간 감점 반영
편의점 신상,58.0,52.0,상승,YouTube,생활,2026-07-01T09:50:00+09:00,2026-07-01T10:20:00+09:00,새 상품 리뷰 영상 관심을 가정한 샘플입니다.,편의점 신상 영상 보기,https://www.youtube.com/results?search_query=%ED%8E%B8%EC%9D%98%EC%A0%90+%EC%8B%A0%EC%83%81,2,1,샘플 점수 · 최신성+관련링크
도심 교통,55.0,61.0,하락,Google News,사회,2026-07-01T06:50:00+09:00,2026-07-01T10:20:00+09:00,출근길 교통 상황 관심이 줄어드는 경우의 샘플입니다.,도심 교통 뉴스 보기,https://news.google.com/search?q=%EB%8F%84%EC%8B%AC%20%EA%B5%90%ED%86%B5&hl=ko&gl=KR&ceid=KR%3Ako,4,1,샘플 점수 · 경과시간 감점 반영
